"Daily Weather Observations for Perth Airport, Western Australia for February 2023"
"Prepared at 03:20 UTC on Tuesday 14 February 2023   IDCJDW6110.202302"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-02-1,18.4,32.7,0,10.6,12.7,E,59,08:22,22.4,47,0,ESE,43,1015.0,31.5,30,0,ESE,31,1011.6
,2023-02-2,15.9,34.1,0,12.6,12.8,ESE,69,23:17,21.7,45,0,E,30,1015.6,33.4,11,0,E,35,1011.5
,2023-02-3,17.8,36.0,0,11.2,12.3,E,72,02:44,24.5,46,1,ENE,31,1013.7,34.8,18,2,ENE,30,1008.5
,2023-02-4,21.7,38.9,0,14.4,10.0,E,54,00:02,27.6,28,7,ENE,26,1008.7,38.3,13,5,E,13,1004.9
,2023-02-5,22.8,35.3,0,8.0,12.5,NNW,35,04:43,30.5,32,1,NNE,19,1006.5,31.5,49,1,W,19,1004.9
,2023-02-6,19.8,27.4,0,9.8,9.2,WSW,39,14:22,21.8,68,8,S,13,1009.4,25.8,53,1,WSW,26,1008.7
,2023-02-7,15.7,29.9,0,6.6,12.3,SW,41,15:55,22.6,62,1,S,13,1012.0,28.1,48,0,WSW,28,1009.9
,2023-02-8,18.9,32.1,0,7.4,12.5,WSW,37,13:25,24.9,49,0,E,22,1012.5,30.2,41,0,WSW,22,1009.7
,2023-02-9,16.6,33.1,0,8.0,11.9,ENE,35,08:28,24.4,49,0,ENE,17,1012.2,30.0,42,2,W,24,1008.4
,2023-02-10,15.6,31.1,0,9.4,12.6,SSW,56,14:59,25.6,42,0,N,6,1008.3,28.8,32,0,SW,39,1007.9
,2023-02-11,14.7,29.4,0,9.4,12.3,SSW,41,17:29,21.9,50,1,E,24,1014.5,27.6,36,0,SW,30,1011.5
,2023-02-12,15.1,34.7,0,8.6,12.4,E,56,06:18,22.9,50,0,ENE,22,1015.1,33.7,18,0,W,19,1011.0
,2023-02-13,18.5,37.7,0,8.8,12.4,E,59,01:40,25.5,44,0,ENE,24,1013.2,35.5,28,0,SW,24,1007.1
,2023-02-14,17.3,,0,10.2,,,,,24.0,55,1,SSW,22,1007.8,,,,,,